2010-01,120
2010-02,125
2010-03,129
2010-04,126
2010-05,121
2010-06,132
2010-07,150
2010-08,149
2010-09,137
2010-10,120
2010-11,102
2010-12,121
2011-01,118
2011-02,130
2011-03,138
2011-04,135
2011-05,120
2011-06,151
2011-07,168
2011-08,172
2011-09,159
2011-10,131
2011-11,117
2011-12,142
2012-01,148
2012-02,152
2012-03,175
2012-04,165
2012-05,170
2012-06,
2012-07,
2012-08,200
2012-09,183
2012-10,165
2012-11,148
2012-12,164
2013-01,169
2013-02,180
2013-03,193
2013-04,181
2013-05,184
2013-06,220
2013-07,233
2013-08,240
2013-09,211
2013-10,189
2013-11,170
2013-12,196
2014-01,198
2014-02,198
2014-03,230
2014-04,237
2014-05,231
2014-06,241
2014-07,265
2014-08,272
2014-09,237
2014-10,211
2014-11,180
2014-12,201
2015-01,204
2015-02,188
2015-03,235
2015-04,227
2015-05,234
2015-06,
2015-07,302
2015-08,293
2015-09,259
2015-10,229
2015-11,203
2015-12,229
2016-01,242
2016-02,233
2016-03,267
2016-04,269
2016-05,270
2016-06,315
2016-07,364
2016-08,347
2016-09,312
2016-10,274
2016-11,237
2016-12,278
2017-01,284
2017-02,277
2017-03,317
2017-04,313
2017-05,318
2017-06,374
2017-07,413
2017-08,405
2017-09,355
2017-10,306
2017-11,271
2017-12,306
2018-01,315
2018-02,301
2018-03,356
2018-04,348
2018-05,355
2018-06,422
2018-07,465
2018-08,467
2018-09,404
2018-10,347
2018-11,305
2018-12,336
2019-01,340
2019-02,318
2019-03,362
2019-04,348
2019-05,363
2019-06,435
2019-07,491
2019-08,505
2019-09,404
2019-10,359
2019-11,310
2019-12,337
2020-01,360
2020-02,342
2020-03,406
2020-04,396
2020-05,420
2020-06,472
2020-07,548
2020-08,559
2020-09,463
2020-10,407
2020-11,362
2020-12,405
2021-01,417
2021-02,391
2021-03,
2021-04,461
2021-05,472
2021-06,535
2021-07,622
2021-08,606
2021-09,508
2021-10,461
2021-11,390
2021-12,432
